Title,User_id,_2,_3,_4,_5
Visual Basic 6 Win32 API Tutorial,A1F7N3PXX3VUBG,1/1,4.0,A *must* for every Windows BASIC programmer,"As good as Daniel Appleman's book is, I guess most publishers and authors felt writing a competing book wasn't worth the effort. Thanks goodness neither the author, nor Wrox felt that way.This book is not a replacement for Appleman's book. But it sure is a lot easier to read and makes a great companion. It's better organized, allowing you to search for API entries based on the type of task you want to overcome.This is the author's first effort, so it's only 360+ pages. Not bad. If I were to offer one complaint, it would be that there is no companion CDROM. At $40 (retail), it's odd for a computer book not to include one."
Visual Basic 6 Win32 API Tutorial,A2NEF1XVWDQRL2,0/0,2.0,visual basic,not for me way over the basics win 32 api is a dauting subject not the books fault most likey mine
Visual Basic 6 Win32 API Tutorial,A3P466RU15SQDR,0/0,4.0,"Good, but not for beginners","A lot of people have mixed feelings about this book. But i think it really depends on your level of programming. If you are a absoloute beginner to the Win32 API, then forget this book, it'll just get you lost. If you have a little experiance in the API, (for example, i had used the API for a few BitBlt functions), then this is a good 'next level' book. If you have no idea what i mean when i say 'BitBlt Functions' then this book probably isn't for you. This book is a good reference and fairly useful when troubleshooting API problems, and it also goes a bit beyond the Win32 API which can be informitive. I enjoyed reading this, and escpecially building the encryption program that this book helps you compile along the way, but as i said before it really matters what skill level you are at."
Visual Basic 6 Win32 API Tutorial,,0/0,2.0,Visual Basic 6 Win32 API Tutorial,I have the same feeling as the guy in Germany
Visual Basic 6 Win32 API Tutorial,A1QZRY19LW5GTP,14/15,2.0,Not that good as others have rated here,"Because of the good ratings here I bought that book since I thought that Dan Appleman's book was too difficult. To my mind Jason Bock's book is not so good since it is not suitable for absolute Win32-API beginners. He starts with the exceptions, critical things and so on. Often he writes, that something will be explained in another chapter. This is a bad design of a tutorial. He has some good tips and tricks in that book, but if one is a beginner with Win32-API he must read too many things a few times until he understands them. Dan Appleman's book seems to be a little better for beginners."
Visual Basic 6 Win32 API Tutorial,A1MH4WA7A1QOE,9/9,3.0,Some usefulness but overal nothing totaly practical..,"I can honestly say after doing about 80% of the examples in this book, that I found only about 20% of the stuff useful. And of all the stuff I learned I can honestly say that it did not make my understanding of API's more clear.To me API is something you have to spend some time with. And it is hard cause unlike picking some new control and just figuring out what it does by its properties and methods, API's aren't something you can quickly grasp (IMHO) by playing with them.I didn't like the 'I will explain what all this does later', concept either as one reviewer mentioned. If your going to write out tonnes of code explain it all before you move on. This book doesn't do that. ALSO DON'T throw pages of code and more pages and then explain what it all does.DO IT IN SMALL CHUNKS!! Any developer who writes tonnes and tonnes of code and then tests his/her program is nuts. Take it in small steps. The book doesn't do this and I feel that was its greatest fault.I'd write this huge routine and sure it would work, but I'd be saying to myself &quot;what do these 2 lines here at the beggining with the API call do exactly&quot;.. Then I am coding more and then the concept is atempted to be explained to me in its entirity.. And I am sitting there &quot;What the hell did I just do?&quot;Well that's my 2 cents. The good thing is source code is available from the publishers web site, and what errors there are in the book are easy to see.. nothing huge (that is unless you are really new to VB then u shouldn't be using this book first). However, the mutex example was VERY helpful and I have it in one application already. I know what it does but I don't really understand its mechanics... And I think that's how I feel about this book in the nutshell.Got some usefull code (not a lot) but API is still a mystery to me.... There's propably something better out there.."
Visual Basic 6 Win32 API Tutorial,,8/8,5.0,Great Book for those starting out with the API,"If you are new to VB or just haven't used the API much and ready to start this is a great book for you. It is inescabable that this book is compared to Appleman's book which is the definitive work on API's but while I have the Appleman book I find that it is better for people who are already somewhat experinced and want to learn more. This book by Jason Bock is THE book to buy if you are starting out. Not to say it is a 'API for Dummies' type of book -API usage is a non-trivial subject- but this will give you the foundation you need in a much more digestible fashion. The Appleman book which I occasionaly dig out to try to figure out something, spends most of its time as a paperweight since I am still something of a newbie. This book by Jason I am actually using to learn."
Visual Basic 6 Win32 API Tutorial,A2V0387TN0IQW1,7/7,3.0,Not as useful as I though it would be,"I bought this book about a year ago when I had a need to learn how to use Win32 API. I read a little, then started to skim, then skip sections, then put it aside completely where it collected dust while I found my answers elsewhere. I eventually picked it up again after I had become casually familiar with the Win32 API and realized that my remorse over the purchase wasn't the book's fault - rather it was my expectations of what the book was going to deliver.The Win32 API is vast and complicated. A casual glance at Win32 API books that go over just the Functions and Types (in only 4000 pages) will prove it. Any programmer looking at this book to solve a specific problem for them should keep looking. The book does not cover that many specific API situations, but rather explains syntax and structure, how's and when's, etc (metaphorically explaining what the abbreviations for a cup or tablespoon is and how to read a recipe card rather than how to cook any particular dish itself). I recommend the book as either your first introduction to the Win32 API after you have got VB6 down but before you actually need the Win32 API, or as a refresher for those who know the general gist of how to use the Win32 API, but want to fill in the gaps of what some things are, why they are used, and when to use them."
Visual Basic 6 Win32 API Tutorial,,5/5,5.0,Great Book!,"Im a 17yr. old VB programmer, when I purchased the book I knew some API, FindWindow, FindWindowEx, a few others, and how to declare them, but I didnt know what all the stuff meant(Declare Function blah blah), this book taught me what it all means, where to find more Calls, and ALL of other useful information, If I knew nothing about API, and read this book I would definatly know how to use is by the end of the book! This isn't like most &quot;Learning&quot; books, most I find boring, or too complex, he adds jokes here and there and makes it a lot easier, he sounds like an actual person with a sense of humor, and not like a machine.(no offence other authors)"
Visual Basic 6 Win32 API Tutorial,,4/4,4.0,Excellent book to get you started actually doing it.,"While Appleman's book continues to be the definitive =reference= book. This book offers some real world examples of how to use the Win32 API to not only do things that you can't do with VB intrinsic commands and controls, but also to subtantially boost the performance of things you could do with regular VB. Specific examples are worked through and type conversions are explained within this context.I'd recommend it to anyone that's thinking the API might have something more to offer than current directory information (they'd be right).I wouldn't use every example in real life, but there are plenty I would use, and all are excellent examples of what can be done.DISCLAIMER: I was a technical reviewer on this book, and, as such, am somewhat tied to Wrox and the quality of the end product. Rest assured, however, that I don't get any perks from this review, and the opinion is mine and mine alone.Rob Vieira, MCSD, MCT"
Visual Basic 6 Win32 API Tutorial,A2DQN99S51ND8D,3/3,5.0,Excellent Book for API Beginners!,"Personally I thought this book was great for progammers just starting out with the API or Applications Programmers Interface. The examples are well laid out and the code is mostly bug free. Yes this book does not have the depth of some other earlier mentioned books, however it is important to realize that this is a tutorial. Because this book claims to be a tutorial it should be rated on how well it teaches the subject. Personally I think the author did a great job and I learned a significant amount from this book."
