Title,description,authors,publishedDate,categories,ratingsCount
No place to cry: The hurt and healing of sexual abuse,"Just as God gave Dorie Van Stone a tender heart to forgive her abusers, He also gave her the strength to reveal her past in No Place to Cry, the sequel to the best-seller Dorie: The Girl Nobody Loved. Through her candor you will gain insight into the trauma of emotional and sexual abuse.","['Dorie N. Van Stone', 'Erwin W. Lutzer']",1992-05-09,['Religion'],4.0
Chocolate: The Sweet History,"Complete with recipes, a guide provides an informative review of the history of chocolate by explaining where it originated, how it was originally used and by whom, how it is grown and processed, how it came to be made into tasty treats in modern times, and more. Simultaneous.",['Sandra Markle'],2005,['Juvenile Nonfiction'],2.0
Voices in Summer,"A phenomenal, heartwarming tale by the much-loved Rosamunde Pilcher. Laura, newly married and ever conscious she may be living in the shadow of her husband Alec's first wife, decides to take a holiday with his family in Cornwall. Through the long hot summer days she is slowly charmed by the beautiful old house and the people she learns to know and love. In time her uneasy spirit is soothed by the sparkling, brilliant sea, and her restless heart finally calmed. But is this new-found tranquillity too good to be true? For with the arrival of an anonymous letter, one accusing her of having an affair, Laura's world is thrown into turmoil . . .",['Rosamunde Pilcher'],2020-07-01,['Fiction'],4.0
The Castle in the Attic,"The classic children's story about a young boy, his toy castle, and a magical adventure that reveals the true meaning of courage When his beloved caretaker Mrs. Phillips tells him she's leaving, William is devastated. Not even her farewell gift of a model medieval castle helps him feel better—though he has to admit it's fascinating. From the working drawbridge and portcullis to the fully-furnished rooms, it's perfect in every detail. It almost seems magical. And when William looks at the silver knight, the tiny figure comes to life in his hand—and tells him a tale of a wicked sorcerer, a vicious dragon, and a kingdom in need of a hero. Hoping the castle's magic will help him find a way to make his friend stay, William embarks on a daring quest with Sir Simon, the Silver Knight—but he will have to face his own doubts and regrets if he's going to succeed. William's story continues in The Battle for the Castle, available as a redesigned companion edition. An IRA-CBC Children's Choice A California Young Reader Medal Winner A Dorothy Canfield Fisher Children's Book Award Winner Nominated for 23 State Book Awards",['Elizabeth Winthrop'],2012-05-15,['Juvenile Fiction'],21.0
SPELLBINDER: NIGHTWORLD,"Two witch cousins fight over their high school crush. It's a battle between black magic and white magic in ""Spellbinder.""",['L.J. Smith'],2016-12-06,['Juvenile Fiction'],6.0
Life 101 : Everything We Wish We Had Learned About Life in School -- But Didn't (The Life 101 Series),,['Peter McWilliams'],1997-04,['Philosophy'],3.0
"Three Years Among the Comanches: The Narrative of Nelson Lee, the Texas Ranger","Three Years Among the Comanches: The Narrative of Nelson Lee, the Texas Ranger; Containing a Detailed Account of His Captivity Among the Indians, His Singular Escape Through the Instrumentality of His Watch, and Fully Illustrating Indian Life as It is...",['Nelson Lee'],2016-08-19,,
ZOMBIE LOVER (XANTH),"Something’s rotten in the land of Xanth—and it’s not just the undead—in this “cheeky” adventure in the New York Times–bestselling series (Publishers Weekly). Horrors and hilarity collide as a fate far worse than death awaits a vivacious young visitor to “the Florida-shaped fantasy land where anything goes and the puns pack every page” (Kirkus Reviews). Breanna, a beautiful young newcomer to the enchanted land of Xanth, must deal with a distressing dilemma. She has unwittingly attracted the affections of King Xeth, ruler of Xanth’s Zombies, who yearns to make her queen of the undead! Her quest to preserve her innocence, and find her destiny, takes her on an exhilarating excursion packed with perils, puzzles, and piles of puns. Zombie Lover will provide a profusion of macabre merriment.",['Piers Anthony'],2019-11-05,['Fiction'],3.0
Adult Leukemia: A Comprehensive Guide for Patients and Families,"Defines leukemia; describes symptoms and diagnosis; explains tests; and discusses prognosis, treatment options, side effects, support needs, financial aspects, and research aids.",['Barbara B. Lackritz'],2001,['Family & Relationships'],
Strategies for Stillwater,"Discusses tackle, flies, locating trout, and recognizing and matching lake food forms",['Dave Hughes'],1991,['Sports & Recreation'],1.0
Woodcraft,,['William Gilmore Simms'],1854,['American fiction'],
I'M DANCING AS FAST AS I CAN,,['Barbara Gordon'],1982-09,['Diazepam'],5.0
Psalms Now,"What would the psalm writers say if they lived in modern times? What words would they use to express their prayers? ""Psalms Now"" captures the meaning of the psalms for today.",['Leslie F. Brandt'],1986,['Religion'],7.0
The Pledge of Allegiance,"Discusses the history and meaning of the Pledge of Allegiance, which was first published in The Youth's Companion in 1892 as part of a campaign to promote patriotism led by James B. Upham and Francis Bellamy.",['Christine Webster'],2007-09,['Juvenile Nonfiction'],
Treasure Chests: The Legacy of Extraordinary Boxes,"From time immemorial, people have used chests to protect their greatest valuables. In this work, Lon Schleining offers a highly visual guided tour of the world's most ancient and enduring furniture form.",['Lon Schleining'],2003,['House & Home'],1.0
Triangle,"Oil and gas reserves have depleted at an exponential rate, suffocating world economies. Military dominance has been replaced by The Triangle. Three powerful multinational consortiums, sharing a common mission: To stop anyone trying to gain an economic advantage, and disrupting the status quo. The capitalists’ will to survive is pitted against The Triangle’s Will to control, in this winner-takes-all battle to secure a new energy source to fuel the world’s insatiable appetite. Ben Crenshaw’s team on the Accipiter space station is racing against time, politics, and an international team returning from a seven year deep space mission. The two teams, separated from the rest of the world, have relied on each other and trusted each other ... a trust that is about to be broken. With tensions rising on the ground, a new transgressor emerges, one that is not afraid to use force.",['Edmond John'],2008-12-31,['Fiction'],
"Thuvia, Maid of Mars and the Chessmen of Mars: Library Edition","""The Master Mind of Mars"" by Edgar Rice Burroughs is the sixth book in the Barsoom series. Burroughs moves further away from John Carter by introducing a new hero, Ulysses Paxton, who uses his Martian name Vad Varo for most of the book. Ulysses is a much different hero than John Carter, or for that matter Cathoris or Thuvia from ""Thuvia Maid of Mars"" or Gahan of Gathol or Tara of Helium from ""The Chessmen of Mars."" We are delighted to publish this classic book as part of our extensive Classic Library collection. Many of the books in our collection have been out of print for decades, and therefore have not been accessible to the general public. The aim of our publishing program is to facilitate rapid access to this vast reservoir of literature, and our view is that this is a significant literary work, which deserves to be brought back into print after many decades. The contents of the vast majority of titles in the Classic Library have been scanned from the original works. To ensure a high quality product, each title has been meticulously hand curated by our staff. Our philosophy has been guided by a desire to provide the reader with a book that is as close as possible to ownership of the original work. We hope that you will enjoy this wonderful classic work, and that for you it becomes an enriching experience.",['Edgar Rice Burroughs'],2018-03-02,,5.0
The 2 1/2 Pillars of Wisdom (The Von Igelfeld Trilogy),"Welcome to the extraordinary world of Professor Dr. Moritz-Maria von Igelfeld, an unnaturally tall and memorable character whose sublime insouciance is a blend of the cultivated pomposity of Frasier Crane and Inspector Clouseau’s hapless gaucherie. The complete exploits of this unlikely adventurer are delightfully captured in The 21⁄2 Pillars of Wisdom.",['Alexander McCall Smith'],2009-06-12,['Fiction'],4.0
Hokusai,"Published on the occasion of an exhibition held at the Museum of Fine Arts, Boston, April 15, 2015-August 9, 2015.","['Sarah Elizabeth Thompson', 'Joan Wright', 'Philip Meredith']",2015,['Art'],
Prey,"Tropical rainforests cover only about 6% of the earth's surface, yet they are home to more than half the world's species. This book looks at the biology and behaviour of predators and prey describing how they live together in harmony and balance and how vital they are to the wellbeing of the whole world. It is one of a series of books which aims to provide an understanding of the unique ecosystems of the rainforest. It describes the amazing plants and animals and how they interact, and addresses local and global environmental and conservation issues.",['Michael Chinery'],2000,['Predation (Biology)'],
Cognitive Coaching: A Foundation for Renaissance Schools,Shows you how teachers' individual and collective capacities for continuing self-improvement are strengthened over time through cognitive coaching.,"['Arthur L. Costa', 'Robert J. Garmston']",1994,['Cognition'],
