rotten_tomatoes_link,movie_title,movie_info,critics_consensus,genres,directors,authors,tomatometer_rating,audience_rating,tomatometer_count,audience_count
m/hear_no_evil,Hear No Evil,An Oregon woman's (Marlee Matlin) new friend (D.B. Sweeney) helps her elude a corrupt policeman (Martin Sheen) who wants an item she unknowingly holds.,,Mystery & Suspense,Robert Greenwald,"Danny Rubin, Randall M. Badat",11.0,35.0,9.0,2454.0
m/stage_door,Stage Door,"A boardinghouse for female theater actresses gets a new arrival in the form of Terry Randall (Katharine Hepburn), an upper-class woman pursuing her dreams against her wealthy father's wishes. At first, her status makes her unpopular with the other boarders, particularly her roommate, Jean (Ginger Rogers). As Terry becomes better acquainted with the other girls and their shared ambitions, rivalry -- both professional and romantic -- explodes among them.",,"Classics, Comedy, Drama",Gregory La Cava,"Gregory La Cava, Morrie Ryskind, Anthony Veiller",96.0,87.0,23.0,4809.0
m/last_tango_in_paris,Last Tango in Paris,"Distraught following his wife's suicide, American hotelier Paul (Marlon Brando) becomes transfixed by the beautiful younger Frenchwoman Jeanne (Maria Schneider) when he meets her by chance at an apartment both are attempting to rent. The couple begin an extended but purely anonymous sexual relationship in which they do not even tell each other their names, but it soon becomes clear that the couple's deliberate level of disassociation cannot continue.","Naturalistic but evocative, Last Tango in Paris is a vivid exploration of pain, love, and sex featuring a typically towering Marlon Brando performance.","Art House & International, Drama, Romance",Bernardo Bertolucci,"Bernardo Bertolucci, Franco Arcalli",83.0,76.0,40.0,24564.0
m/road_to_paloma,Road to Paloma,"After avenging the rape and murder of his mother, a man (Jason Momoa) dodges the FBI while traveling across the West to spread her ashes.",,"Drama, Mystery & Suspense",Jason Momoa,"Jason Momoa, Jonathan Hirschbein, Robert Mollohan",57.0,55.0,14.0,588.0
m/art_of_being_straight,The Art of Being Straight,Two college friends question their orientation in New York.,,"Comedy, Drama, Gay & Lesbian",Jesse Rosen,Jesse Rosen,38.0,31.0,8.0,324.0
m/patema_inverted,Patema Inverted,Patema and Age leave their community's tunnels to find out why gravity was reversed by an energy experiment.,,Animation,Yasuhiro Yoshiura,Yasuhiro Yoshiura,73.0,79.0,15.0,880.0
m/last_passenger,Last Passenger,A maniac takes control of a speeding train and plans to crash it.,,"Action & Adventure, Mystery & Suspense",Omid Nooshin,"Andrew Love, Omid Nooshin, Andy Love",85.0,58.0,20.0,2541.0
m/feast_of_the_seven_fishes,Feast of the Seven Fishes,"The Oliverio family readies its Feast of the Seven Fishes, an Italian Christmas tradition stretching back to the old country.",,"Comedy, Drama, Romance",Robert Tinnell,Robert Tinnell,88.0,93.0,16.0,59.0
m/preggoland,Preggoland,"Ruth, a childless 35-year-old, ruins her friend's baby shower with juvenile antics and is promptly dropped by her friends. When she is mistakenly thought to be pregnant, she is welcomed back with open arms.",,Comedy,Jacob Tierney,Sonja Bennett,44.0,36.0,18.0,211.0
m/1002526-black_sunday,Black Sunday,"Blimp pilot Michael Lander (Bruce Dern), who has endured the horrors of the Vietnam War, is now psychotic. Hoping to kill himself in grand fashion, he teams with Palestinian terrorist Dahlia (Marthe Keller), who plans on using Lander to set off a bomb at the Super Bowl by crashing his aircraft into the crowded stands. With thousands of lives at stake, Israeli military agent Kabakov (Robert Shaw) teams with the F.B.I. in an attempt to stop Lander's mass murder-suicide.","A smart, tense thriller from director John Frankenheimer, Black Sunday succeeds on a technical level, even if it fails to bring its characters to vivid life.","Action & Adventure, Drama, Horror, Mystery & Suspense",John Frankenheimer,"Ivan Moffat, Kenneth Ross, Ernest Lehman",69.0,64.0,26.0,3906.0
m/sordid_lives,Sordid Lives,"Sometimes it takes a death to bring a family together. The all-star casts puts a comedic twist on a story of unconditional love, acceptance and ""coming out"" in a Texas family. The eccentric cast of characters come together when their intertwining lives prepare for the funeral of the family matriarch.",,"Comedy, Drama",Del Shores,"Del Shores, Del Shores",37.0,85.0,27.0,3425.0
m/the_queen_of_versailles,The Queen of Versailles,"The 2008 global economic crisis threatens the fortune of Florida billionaires David and Jackie Siegel just as they are in the middle of building a 90,000 square-foot estate.","The Queen of Versailles is a timely, engaging, and richly drawn portrait of the American Dream improbably composed of equal parts compassion and schadenfreude.","Documentary, Special Interest",Lauren Greenfield,,95.0,73.0,117.0,15791.0
m/out_of_the_furnace,Out of the Furnace,"Steelworker Russell Baze (Christian Bale) works a dead-end job and holds tight to his sense of family, duty and loyalty. Rodney Baze (Casey Affleck), Russell's brother, returns home after serving in Iraq and, with his debts piling up, becomes entangled with a vicious crime lord (Woody Harrelson). Soon afterward, Rodney disappears mysteriously. The police fail to solve the case, so Russell -- feeling he has little left to lose -- puts his life on the line to bring his brother home.","While it may not make the most of its incredible cast, Out of the Furnace is still so packed with talent that it's hard to turn away.",Drama,Scott Cooper,Scott Cooper,54.0,52.0,196.0,43760.0
m/hold_the_dark,Hold the Dark,"Summoned to a remote Alaskan village to search for the wolves that killed three children, a wolf expert soon finds himself unraveling a harrowing mystery.",Hold the Dark's unsettling aesthetic offers more of what filmgoers expect from director Jeremy Saulnier - and is often enough to prop up shaky narrative underpinnings.,Mystery & Suspense,Jeremy Saulnier,Macon Blair,71.0,31.0,83.0,1204.0
m/the_burbs,The 'Burbs,"Settling in for some time off in his suburban home, Ray Peterson's (Tom Hanks) vacation becomes a horror when the Klopeks, a suspiciously odd family, move in down the block. Enlisting the aid of his paranoid buddy, Art (Rick Ducommun), and his militia-man neighbor, Rumsfield (Bruce Dern), Ray sends his son and wife (Carrie Fisher) away on a trip while he investigates the Klopeks. When a neighbor disappears, Ray and his cohorts risk their lives to save their cul-de-sac from the clutches of evil.","The 'Burbs has an engaging premise, likable cast, and Joe Dante at the helm -- so the mixed-up genre exercise they produce can't help but feel like a disappointment.","Comedy, Mystery & Suspense, Special Interest",Joe Dante,"Dana Olsen, Robert Collector, Mitch Markowitz",53.0,71.0,38.0,60873.0
